RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,PK3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device or Header,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Stack Snapshot,Runtime BPs,SW BPs,PTG Support,App IO,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,Instruction Trace,PC Profiling,PC Sampling,FLP,Jump Trace
PIC12F1822 using AC244063,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1840,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,No,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1840 using AC244043,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1840 using AC244063,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F508 using AC162059,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F509 using AC162059,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F510 using AC162070,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F519 using AC162096,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F609 using AC162083,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F615 using AC162083,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F617 using AC162083,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F629 using AC162050,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F635 using AC162057,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F675 using AC162050,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F683 using AC162058,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F752,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F752 using AC244049,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12HV609 using AC162083,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12HV615 using AC162083,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12HV752,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12HV752 using AC244050,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1501,0,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
