RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,PK3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device or Header,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Stack Snapshot,Runtime BPs,SW BPs,PTG Support,App IO,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,Instruction Trace,PC Profiling,PC Sampling,FLP,Jump Trace
PIC18F25K80,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F25K83,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F25Q10,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F2610,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F2620,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F2680,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F2682,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F2685,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F26J11,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F26J13,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F26J50,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F26J53,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F26K20,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F26K22,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F26K40,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F26K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F26K80,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F26K83,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F26Q10,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F27J13,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F27J53,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F27K40,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F27K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F27Q10,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F4220,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4221,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4320,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4321,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4331,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F43K20,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F43K22,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F4410,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F442,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4420,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4423,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4431,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4450,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4455,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4458,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F448,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4480,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F44J10,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F44J10 using AC162067,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F44J10 using AC162074,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F44J11,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F44J50,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F44K20,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F44K22,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F4510,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4515,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F452,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4520,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4523,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4525,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4550,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4553,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F458,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4580,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4585,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F45J10,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45J10 using AC162067,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45J10 using AC162074,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45J11,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45J50,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45K20,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F45K22,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45K40,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F45K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F45K50,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45K80,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F45Q10,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F4610,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4620,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4680,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4682,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F4685,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F46J11,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F46J13,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F46J50,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F46J53,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F46K20,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F46K22,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F46K40,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F46K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F46K80,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F46Q10,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F47J13,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F47J53,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F47K40,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F47K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F47Q10,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F55K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F56K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F57K42,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC18F6310,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6390,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6393,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F63J11,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F63J11 using AC162079,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F63J90,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F63J90 using AC162079,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F6410,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6490,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6493,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,No,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F64J11,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F64J11 using AC162079,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F64J90,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F64J90 using AC162079,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F6520,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6525,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6527,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6585,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F65J10,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J10 using AC162062,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J11,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J11 using AC162079,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J15,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J15 using AC162062,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J50,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J50 using AC162087,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J90,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J90 using AC162079,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65J94,5,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65K22,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65K40,3,3,R/W,0,No,N/A,No,Yes,No,No,No,No,No,N/A,Yes,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC18F65K80,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F65K90,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F6620,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6621,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6622,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6627,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6628,3,3,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F6680,1,1,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,No,No,No,No
PIC18F66J10,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F66J10 using AC162062,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F66J11,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F66J11 using AC162091,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F66J15,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F66J15 using AC162062,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F66J16,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
PIC18F66J16 using AC162091,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,N/A,1,1,Yes,Yes,Yes,No,No,No,Yes,No
