ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5
Device,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Runtime BPs,SW BPs,Live Connect,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,ITM/SWO,PIC32 Instruction Trace,PC Profiling,PC Sampling
PIC16F18045,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18046,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18054,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18055,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18056,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18074,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18075,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18076,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18114,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18115,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18124,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18125,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18126,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18144,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18145,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18146,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18154,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18155,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18156,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18174,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18175,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18176,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1823,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1824,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1825,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1826,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1827,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1828,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1829,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1829LIN,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18313,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18323,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18324,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18325,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18326,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18344,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18345,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18346,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18424,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18425,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18426,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18444,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18445,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18446,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18455,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18456,3,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1847,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18854,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18855,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18856,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18857,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18875,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18876,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F18877,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19155,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19156,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19175,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19176,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19185,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19186,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19195,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19196,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F19197,1,1,R/W,0,No,N/A,No,255,No,No,No,No,No,Yes,Yes,Yes,No,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1933,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1934,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1936,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1937,1,0,No,0,No,N/A,No,0,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1938,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1939,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1946,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
PIC16F1947,3,3,R/W,0,No,N/A,No,255,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3:ICE4-N/A:ICD5,3:ICE4-N/A:ICD5,Yes:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5,No:ICE4-N/A:ICD5
